Адресс,Код,СК,РА,РК,РД,А,С,Адрес,Новый код
15,F200,16,15,F200,F200,0,0,,
16,480E,17,0,480E,0,0,0,00E,1
17,A019,18,17,A019,A019,0,0,,
18,2045,46,45,2046,19,0,0,45,19
46,F200,47,46,F200,F200,0,0,,
47,F800,48,47,F800,F800,1,0,,
48,4010,49,10,4010,0,1,0,,
49,3010,004A,10,3010,1,1,0,10,1
04A,C845,19,45,C845,19,1,0,,
19,14,001A,14,14,FFFD,1,0,14,FFFD
01A,C015,15,001A,C015,C015,1,0,,
15,F200,16,15,F200,F200,0,0,,
16,480E,17,1,480E,0,0,0,00E,2
17,A019,18,17,A019,A019,0,0,,
18,2045,46,45,2046,19,0,0,,
46,F200,47,46,F200,F200,0,0,,
47,F800,48,47,F800,F800,1,0,,
48,4010,49,10,4010,1,2,0,,
49,3010,004A,10,3010,2,2,0,10,2
04A,C845,19,45,C845,19,2,0,,
19,14,001A,14,14,FFFE,2,0,14,FFFE
01A,C015,15,001A,C015,C015,2,0,,
15,F200,16,15,F200,F200,0,0,,
16,480E,17,2,480E,0,0,0,00E,3
17,A019,18,17,A019,A019,0,0,,
18,2045,46,45,2046,19,0,0,,
46,F200,47,46,F200,F200,0,0,,
47,F800,48,47,F800,F800,1,0,,
48,4010,49,10,4010,2,3,0,,
49,3010,004A,10,3010,3,3,0,10,3
04A,C845,19,45,C845,19,3,0,,
19,14,001A,14,14,FFFF,3,0,14,FFFF
01A,C015,15,001A,C015,C015,3,0,,
15,F200,16,15,F200,F200,0,0,,
16,480E,17,3,480E,0,0,0,00E,4
17,A019,18,17,A019,A019,0,0,,
18,2045,46,45,2046,19,0,0,,
46,F200,47,46,F200,F200,0,0,,
47,F800,48,47,F800,F800,1,0,,
48,4010,49,10,4010,3,4,0,,
49,3010,004A,10,3010,4,4,0,10,4
04A,C845,19,45,C845,19,4,0,,
19,14,001B,14,14,0,4,0,14,0
01B,F000,001C,001B,F000,F000,4,0,,
