Адресс	Код	СК	РА	РК	РД	А	С	Адрес	Новый код	
"018"	"0000"	"001A"	"0000"	"0000"	"0002"	"00ED"	"0"	"000"	"0002"	
"01A"	"0000"	"001C"	"0000"	"0000"	"0003"	"00ED"	"0"	"000"	"0003"	
"01C"	"0000"	"001E"	"0000"	"0000"	"0004"	"00ED"	"0"	"000"	"0004"	
"01E"	"0000"	"0020"	"0000"	"0000"	"0005"	"00ED"	"0"	"000"	"0005"	
"020"	"00EC"	"0022"	"00EC"	"00EC"	"0001"	"00ED"	"0"	"0EC"	"0001"	
"022"	"00E5"	"0024"	"00E5"	"00E5"	"0001"	"00ED"	"0"	"0E5"	"0001"	
"024"	"00ED"	"0026"	"00ED"	"00ED"	"0001"	"00ED"	"0"	"0ED"	"0001"	
"026"	"0000"	"0028"	"0000"	"0000"	"0006"	"00ED"	"0"	"000"	"0006"	
"028"	"0000"	"002A"	"0000"	"0000"	"0007"	"00ED"	"0"	"000"	"0007"	
"02A"	"0000"	"002C"	"0000"	"0000"	"0008"	"00ED"	"0"	"000"	"0008"	
"02C"	"0000"	"002E"	"0000"	"0000"	"0009"	"00ED"	"0"	"000"	"0009"	
"02E"	"0000"	"0030"	"0000"	"0000"	"000A"	"00ED"	"0"	"000"	"000A"	
"030"	"0000"	"0032"	"0000"	"0000"	"000B"	"00ED"	"0"	"000"	"000B"	
"032"	"0000"	"0034"	"0000"	"0000"	"000C"	"00ED"	"0"	"000"	"000C"	
"034"	"0000"	"0036"	"0000"	"0000"	"000D"	"00ED"	"0"	"000"	"000D"	
"036"	"0000"	"0038"	"0000"	"0000"	"000E"	"00ED"	"0"	"000"	"000E"	
"038"	"0000"	"003A"	"0000"	"0000"	"000F"	"00ED"	"0"	"000"	"000F"	
"03A"	"0000"	"003C"	"0000"	"0000"	"0010"	"00ED"	"0"	"000"	"0010"	
"03C"	"0000"	"003E"	"0000"	"0000"	"0011"	"00ED"	"0"	"000"	"0011"	
"03E"	"0000"	"0040"	"0000"	"0000"	"0012"	"00ED"	"0"	"000"	"0012"	
"040"	"0000"	"0042"	"0000"	"0000"	"0013"	"00ED"	"0"	"000"	"0013"	
"042"	"0000"	"0044"	"0000"	"0000"	"0014"	"00ED"	"0"	"000"	"0014"	
"044"	"0000"	"0046"	"0000"	"0000"	"0015"	"00ED"	"0"	"000"	"0015"	
"046"	"0000"	"0048"	"0000"	"0000"	"0016"	"00ED"	"0"	"000"	"0016"	
"048"	"0000"	"004A"	"0000"	"0000"	"0017"	"00ED"	"0"	"000"	"0017"	
"04A"	"0000"	"004C"	"0000"	"0000"	"0018"	"00ED"	"0"	"000"	"0018"	
"04C"	"0000"	"004E"	"0000"	"0000"	"0019"	"00ED"	"0"	"000"	"0019"	
"04E"	"0000"	"0050"	"0000"	"0000"	"001A"	"00ED"	"0"	"000"	"001A"	
"050"	"0000"	"0052"	"0000"	"0000"	"001B"	"00ED"	"0"	"000"	"001B"	
"052"	"0000"	"0054"	"0000"	"0000"	"001C"	"00ED"	"0"	"000"	"001C"	
"054"	"0000"	"0056"	"0000"	"0000"	"001D"	"00ED"	"0"	"000"	"001D"	
"056"	"0000"	"0058"	"0000"	"0000"	"001E"	"00ED"	"0"	"000"	"001E"	
"058"	"0000"	"005A"	"0000"	"0000"	"001F"	"00ED"	"0"	"000"	"001F"	
"05A"	"0000"	"005C"	"0000"	"0000"	"0020"	"00ED"	"0"	"000"	"0020"	
"05C"	"0000"	"005E"	"0000"	"0000"	"0021"	"00ED"	"0"	"000"	"0021"	
"05E"	"0000"	"0060"	"0000"	"0000"	"0022"	"00ED"	"0"	"000"	"0022"	
"060"	"0000"	"0062"	"0000"	"0000"	"0023"	"00ED"	"0"	"000"	"0023"	
"062"	"0000"	"0064"	"0000"	"0000"	"0024"	"00ED"	"0"	"000"	"0024"	
"064"	"0000"	"0066"	"0000"	"0000"	"0025"	"00ED"	"0"	"000"	"0025"	
"066"	"0000"	"0068"	"0000"	"0000"	"0026"	"00ED"	"0"	"000"	"0026"	
