"Выполняемая
 Команда",,"Содержимое регистров процессора после
 Выполнения команды",,,,,,"Изменения после
Выполнения",
Адрес,Код,СК,РА,РК,РД,А,С,Адрес,Новый код
00F,F200,00F,00F,F200,F200,0000,0,,
010,E101,012,010,E101,E101,0000,0,,
012,E201,013,012,E201,E201,EC,0,,
013,E001,014,013,E001,E001,EC,0,,
014,3801,015,020,3801,EC,EC,0,020,EC
015,0002,016,0002,0002,FFFA,EC,0,002,FFFA
016,C00E,00E,0016,0042,C00E,EC,0,,
00E,0001,0010,0001,0001,0021,EC,0,001,021
010,E101,012,0010,E101,E101,EC,0,,
012,E201,013,0012,E201,E201,F2,0,,
013,E001,0014,0013,E001,E001,F2,0,,
014,3801,0015,0021,3801,F2,F2,0,021,F2
015,0002,0016,0002,0002,FFFB,F2,0,002,FFFB
016,C00E,000E,0016,C00E,C00E,F2,0,,
00E,0001,0010,0001,0001,0022,F2,0,001,022
010,E101,012,0010,E101,E101,F2,0,,
012,E201,013,0012,E201,E201,E5,0,,
013,E001,0014,0013,E001,E001,E5,0,,
014,3801,0015,0022,3801,E5,E5,0,022,E5
015,0002,0016,0002,0002,FFFC,E5,0,002,FFFC
016,C00E,000E,0016,C00E,C00E,E5,0,,
00E,0001,0010,0001,0001,0023,E5,0,001,023
010,E101,012,0010,E101,E101,E5,0,,
012,E201,013,0012,E201,E201,ED,0,,
013,E001,0014,0013,E001,E001,ED,0,,
014,3801,0015,0023,3801,ED,ED,0,023,ED
015,0002,0016,0002,0002,FFFD,ED,0,002,FFFD
016,C00E,000E,0016,C00E,C00E,ED,0,,
00E,0001,0010,0001,0001,0024,ED,0,001,024
010,E101,012,0010,E101,E101,ED,0,,
012,E201,013,0012,E201,E201,E5,0,,
013,E001,0014,0013,E001,E001,E5,0,,
014,3801,0015,0024,3801,E5,E5,0,024,E5
015,0002,0016,0002,0002,FFFE,E5,0,002,FFFE
016,C00E,000E,0016,C00E,C00E,E5,0,,
00E,0001,0010,0001,0001,0025,E5,0,001,025
010,E101,012,0010,E101,E101,E5,0,,
012,E201,013,0012,E201,E201,EE,0,,
013,E001,0014,0013,E001,E001,EE,0,,
014,3801,0015,0025,3801,EE,EE,0,025,EE
015,0002,0016,0002,0002,FFFF,EE,0,002,FFFF
016,C00E,000E,0016,C00E,C00E,EE,0,,
00E,0001,0010,0001,0001,0026,EE,0,,
010,E101,012,0010,E101,E101,EE,0,,
012,E201,013,0012,E201,E201,F8,0,,
013,E001,0014,0013,E001,E001,F8,0,,
014,3801,0015,0026,3801,F8,F8,0,026,F8
015,0002,0016,0002,0002,0000,F8,0,002,0000
017,F000,,0017,F000,F000,F8,0,,
